tweet,time
stock markets script ready for 2022 everything on the table too much fun in 2022,2022-01-01T05:08:15.000Z
to get rid of excessive greed always think for others to benefit even when you exit the trade normally we think price of a stock to fall after we exit the trade happy new year,2022-01-01T05:08:15.000Z
lessons from 2021 stock market paisa acche equity picks se hi banega,2022-01-01T05:08:15.000Z
good morning my state of mind as per nifty levels going forward above 17600 i will be a big bull below 17300 i will be a big bear range between 17600 17300 50 points i will nither the bull nor the bear,2022-01-01T05:08:15.000Z
wishing you all very happy new year may this year brings breakout your financial chart year,2022-01-01T05:08:15.000Z
for people forwarding new year wishes yaad dila doon ki abhi financial year chal raha hai khatam nahi hua hamaare desh main april main bhejenge ye messages markets main abhi interval ke baad ki film baaki hai with climax woh enjoy karo,2022-01-01T05:08:15.000Z
the rupee gained further last week as its closed 68 paise higher at 74 33 on december 31 against its december 24 closing of 75 01,2022-01-01T05:08:15.000Z
bse sensex jumped 1 129 51 points 1 98 percent to end at 58 253 82 while the nifty50 rose 350 25 points 2 percent to close at 17 354 levels,2022-01-01T05:08:15.000Z
foreign institutional investors fiis remained net sellers for the third consecutive month in december as they sold equities worth rs 35 493 59 crore,2022-01-01T05:08:15.000Z
wishing all of you a wonderful 2022 is readying a move for 16780 before a melt up first 2 weeks of jan is very important,2022-01-01T05:08:15.000Z
we are living in a world of 10 minutes grocery delivery where prepared food gets delivered after 3 hours invest wisely,2022-01-01T05:08:15.000Z
nifty on dec 31 2020 13981 8 to 17354 1 on dec 31 2021 up 24 12 sensex on dec 31 2020 47751 3 to 58253 8 on dec 31 2021 up 21 99,2022-01-01T06:12:33.000Z
cy21 second highest sell by fiis after 2008 nifty up 24 time to change perception that fiis rules bank,2022-01-01T06:12:33.000Z
wish you a all a very happy new year weekly analysis for coming will be posting soon thanks to all my followers for trusting and showing faith in me let s grow together and hit uc in our profits,2022-01-01T06:12:33.000Z
if you buy for a reason and that reason if discontinued or is no longer valid then sell india,2022-01-01T06:12:33.000Z
to all traders and investors for a healthy and prosperous year ahead trade less create wealth bank,2022-01-01T06:12:33.000Z
