tweet,time
"In falling market, key metric that one should look at is - At what market levels would your overall portfolio turn red. As you keep investing over the years, that market level for red would keep coming down. 
#stockmarkets #BitcoinCrash #Nifty #Paytm",2022-01-24T23:48:29.000Z
"Sensex is in the red , markets are down , bears are raging ,war looming, variants surging but indian bank stocks want to show great results and shine... U guys had 365 days for that ! 
#stockmarketcrash #bearmarket #Nifty #banknifty #Banking",2022-01-24T23:48:29.000Z
"One of my goals for 2022 is to make 25000 per month trading.

That's 3 lakhs by the end of the year.

It's not a very big goal and I think I can achieve it

Not even a month completed into 2022 and I'm proud to say I'm only 3.5 lakhs away from my goal.
@moneycontrolcom
#Nifty",2022-01-24T23:48:29.000Z
"APAC Opening Calls:
#ASX  7063  -1.04%
#NIKKEI  27392  -0.63%
#HSI  24431  -0.78%
#NIFTY  16995  -0.42%
#A50  15316  -0.29%
#TWSE  17868  -0.56%
#IGOpeningCall",2022-01-24T23:48:29.000Z
I guess #sensex #Nifty will be up today. What a turnaround in #NASDAQ $SPY,2022-01-24T23:48:29.000Z
"Every fall in fundamentally strong companies creates a new buying opportunity.

#Nifty #marketcrash",2022-01-24T23:48:29.000Z
"Twitter spaces , Clubhouses all talking about one thing in common the fall of Nifty ...

This is an indicator 

#nifty 
#banknifty 
#EquityDynamo",2022-01-24T23:48:29.000Z
Portfolio down by 3% today #buythedip default hashtag  #Nifty #stockmarkets,2022-01-24T23:48:29.000Z
"#Nifty
A mini prebudget sharp rally could start today and continue till Friday.

Almost every bull has thrown in the towel yesterday, perfect scenario for a sharp reversal.",2022-01-24T23:48:29.000Z
"What a comeback #NASDAQ and #dowjones 

#NASDAQ #Nifty #banknifty",2022-01-24T23:48:29.000Z
"We can see a good recovery in #Nifty & #banknifty today 

Both #DowJones & #NASDAQ recovered very well in second half of there trading session.
Almost 1100 point  to 100 point 
@kuttrapali26
 

Good night",2022-01-24T23:48:29.000Z
"Short covering in #nasdaq - back in green!! #Nifty tomorrow could still give a spike in vix considering Wednesday holiday, market positioning itself before expiry,fed and holiday. 500 pts move till till expiry possible. Avoid short straddles",2022-01-24T23:48:29.000Z
US market be like - Mai jhunkunga nahi . #stockmarkets #Nifty #BANKNIFTYFUTURE,2022-01-24T23:48:29.000Z
"Bitter Betty bought the bitter dip but the dip was even dipper, then Betty bought the dipper dip to make the bitter dip better. 
#Nifty #sensex #StockMarketindia #nseindia",2022-01-24T23:48:29.000Z
We closed Vol 7 of the #AbsoluteReturnPortfolio yesterday with a return of (minus) (1.9%) for the quarter. The portfolio has outperformed #Nifty by 5 percentage points during the period (approx one quarter).,2022-01-24T23:48:29.000Z
"What a comeback #NASDAQ and #dowjones 

#NASDAQ #Nifty #banknifty",2022-01-24T21:32:27.000Z
"We can see a good recovery in #Nifty & #banknifty today 

Both #DowJones & #NASDAQ recovered very well in second half of there trading session.
Almost 1100 point  to 100 point 
@kuttrapali26
 

Good night",2022-01-24T21:32:27.000Z
"Short covering in #nasdaq - back in green!! #Nifty tomorrow could still give a spike in vix considering Wednesday holiday, market positioning itself before expiry,fed and holiday. 500 pts move till till expiry possible. Avoid short straddles",2022-01-24T21:32:27.000Z
US market be like - Mai jhunkunga nahi . #stockmarkets #Nifty #BANKNIFTYFUTURE,2022-01-24T21:32:27.000Z
"Bitter Betty bought the bitter dip but the dip was even dipper, then Betty bought the dipper dip to make the bitter dip better. 
#Nifty #sensex #StockMarketindia #nseindia",2022-01-24T21:32:27.000Z
We closed Vol 7 of the #AbsoluteReturnPortfolio yesterday with a return of (minus) (1.9%) for the quarter. The portfolio has outperformed #Nifty by 5 percentage points during the period (approx one quarter).,2022-01-24T21:32:27.000Z
"Investor wo nai Hota Jo Bas investment kare..investor wo Hota Hai..Jo akhri girawat tak paisa laga sake.
#stockmarket #nifty #Banknifty #greentraders",2022-01-24T21:32:27.000Z
"#nifty50 has formed a long negative candle on the daily chart with a minor lower shadow indicates the market is likely to be volatile in the near term..

Break below Support of 17,000 can drag the #Nifty towards 16,900-16,780-16,700 Levels..
Resistance at 17,300..

#stockmarkets",2022-01-24T21:32:27.000Z
#Nifty will fall down once s&p500 nasdaq goes down but funny logic nse falls before american market starts.. so what logic behind these,2022-01-24T21:32:27.000Z
"If it's going to be a bear market:

1) Don't panic sell
2) Buy dips if there is surplus money
3) otherwise, simply just do nothing 

This too shall pass.
#Nifty #DowJones #NASDAQ #BANKNIFTYFUTURE #cryptotrading",2022-01-24T21:32:27.000Z
"All set for budget. Data giving important clue. I'll share a video before budget. 

#nifty #nifty50",2022-01-24T21:32:27.000Z
"Finally some recovery in #DowJones and #NASDAQ.

Hope for the best 

#Nifty #stockmarkets #DowJones #usmarket",2022-01-24T21:32:27.000Z
"The more arrogant you are in the market greater are the chances of disaster.

The best way is always remember your hard learned lessons & stay humble.

Market is supreme, always respect that.

#stockmarkets #stocks
#optiontrading #nifty",2022-01-24T21:32:27.000Z
"People who were laughing hard on #TTML retail investors misery have been crying since past few days

#StockMarketindia #Nifty #Sensex",2022-01-24T21:32:27.000Z
"Only Way To Stop The Fall

We Need To Rename Nifty As

 “Pushpa”

Phir

“Wo Jhukega Nahi”
#Nifty",2022-01-24T21:32:27.000Z
"Don't Panic , Budget bura nahi aa skta 

2 ko Budget hai , 14 ko Voting

Modiji will play it Smart 

Generally I don't buy OTM  ..but will buy as I see Bank Nifty Running like a Mad Bull ..High Chances of getting 10-50-100x
 #Budget2022  #stockmarkets #StockMarketindia  #Nifty",2022-01-24T21:32:27.000Z
#Nifty #StockMarketindia #Zomato so one of my innocent friend still looking a 20% Discount.... Kiase samjhaau usse ab,2022-01-24T21:32:27.000Z
"#nifty 
2008 Jan - (1/28)*100) / 7.8 = 2.18
2018 Jan - (1/28)*100) /7.45 = 2.08
2022 Jan - (1/28)*100) /6.65 = 1.83 

Yield gap =( Reciprocal of P/E )*100 / 10 year Gsec 

2022 Jan P/E converted to Standalone ( Consolidated P/E * 1.2 ) ... 

Focus on Numbers over Noise ",2022-01-24T21:32:27.000Z
#StockMarketindia #Nifty #Sensex  stock market ko corono ki vaccine lagaya ya polio ki... ??,2022-01-24T21:32:27.000Z
Who all are net positive since 2020 curious to know ...2020 was unprecedented for invt just curious who all are still net positive since then and how much #cryptocurrencies #sensex #Nifty,2022-01-24T21:32:27.000Z
"25 Jan 2022 - Nifty opening may be 16650 (gapdown -500) and touch 16300 by 1pm
#nifty #OptionsTrading #makewealth",2022-01-24T21:32:27.000Z
"*Bloodbath on #DalalStreet, #bears have a party*

875 (of 3844) #stocks hit lower circuit on #BSE with no buyers. At 56984, #Sensex was down almost 2,100 points compared to previous closing. #Nifty had once slipped by 620 points in relation to last closing. 

#StockMarkets",2022-01-24T21:32:27.000Z
"And a new day will dawn for those who stand long
And the forests will echo with laughter
Remember laughter? 

 Stairway To Heaven, #LedZeppelin

#NASDAQ #crash #stockmarkets  #nifty #rock #lyrics

Have you heard this beautiful song?",2022-01-24T21:32:27.000Z
Bombay temperature is falling steeper than bombay stock markets #Nifty #SGXNIFTY #stockmarkets,2022-01-24T21:32:27.000Z
"Who is happy as Nifty is falling?

#Nifty #sharemarket #stockmarketcrash",2022-01-24T21:32:27.000Z
Who all are net positive since 2020 curious to know ...2020 was unprecedented for invt just curious who all are still net positive since then and how much #cryptocurrencies #sensex #Nifty,2022-01-24T18:58:36.000Z
"25 Jan 2022 - Nifty opening may be 16650 (gapdown -500) and touch 16300 by 1pm
#nifty #OptionsTrading #makewealth",2022-01-24T18:58:36.000Z
"*Bloodbath on #DalalStreet, #bears have a party*

875 (of 3844) #stocks hit lower circuit on #BSE with no buyers. At 56984, #Sensex was down almost 2,100 points compared to previous closing. #Nifty had once slipped by 620 points in relation to last closing. 

#StockMarkets",2022-01-24T18:58:36.000Z
"And a new day will dawn for those who stand long
And the forests will echo with laughter
Remember laughter? 

 Stairway To Heaven, #LedZeppelin

#NASDAQ #crash #stockmarkets  #nifty #rock #lyrics

Have you heard this beautiful song?",2022-01-24T18:58:36.000Z
Bombay temperature is falling steeper than bombay stock markets #Nifty #SGXNIFTY #stockmarkets,2022-01-24T18:58:36.000Z
"Who is happy as Nifty is falling?

#Nifty #sharemarket #stockmarketcrash",2022-01-24T18:58:36.000Z
"#SGXnifty #Correction #Bubble #NIFTY  By the time we wake up in morning, everything will be painted in green. Believe me. Good night",2022-01-24T18:58:36.000Z
"Nasdaq currently is up by 300 points from its day low, though it is still down by 2.5%...previous 4 days it closed at day's low..today it's trading above the lows substantially..if it closes 300 points above day's low we can hope pullback from tomorrow. #NASDAQ #Nifty #SGXNIFTY",2022-01-24T18:58:36.000Z
#nifty I don't believe in SGX jo onscreen nifty wahi apna market hai.#nifty50 #niftygrewal.,2022-01-24T18:58:36.000Z
"Neither bulls not bears
#Memes ruled the market today

#Sensex #Nifty #marketcrash",2022-01-24T18:58:36.000Z
"Starting from the bottom now we here... where? 

#nifty #BSE",2022-01-24T18:58:36.000Z
"Everyone on Twitter is trying to find the support Nifty can take. But Nifty rukega nahi, saala. #Nifty #NIFTYIT #NIFTYMETAL",2022-01-24T18:58:36.000Z
"Where will Nifty50 open tomorrow morning?
.
 #Nifty #StockMarketindia #stockmarkets",2022-01-24T18:58:36.000Z
"#NASDAQ100 in recovery mode, closing in green will be crucial for global market. #Markets #Nifty #nifty50",2022-01-24T18:58:36.000Z
"Best advice for current market situation is ""Don't Trade"". 
No trade is also a trade.
Till Budget no trading.
Saving your existing capital is more important.
Let once settle down the market.
You have your whole life to trade.

#Nifty #banknifty",2022-01-24T18:58:36.000Z
"#Nifty might close green 2maro!

Good Night",2022-01-24T18:58:36.000Z
"My God! Looks like NIFTY gonna dive 2% further again tomorrow.

#Nifty",2022-01-24T18:58:36.000Z
"#DowJones very important levels 33100-200 zone 

Recovery till now 350 points 

Will it be bottom out at this levels 

#SGXNIFTY #Nifty  #investing #trading",2022-01-24T18:58:36.000Z
